Location,Region,State
n/a eXmajor Hangar Ras Al Khaimah Ras,Al,Khaimah
n/a Fashrah Ras Al Khaimah Ras,Al,Khaimah
n/a Fa'y Ras Al Khaimah Ras,Al,Khaimah
n/a Fayyad Ras Al Khaimah Ras,Al,Khaimah
n/a Financial City (DIFC) Ras Al Khaimah Ras,Al,Khaimah
n/a Furfar Ras Al Khaimah Ras,Al,Khaimah
n/a Ghadf Ras Al Khaimah Ras,Al,Khaimah
n/a Ghaghah Ras Al Khaimah Ras,Al,Khaimah
n/a Ghalilah Ras Al Khaimah Ras,Al,Khaimah
n/a Ghayl Ras Al Khaimah Ras,Al,Khaimah
n/a Ghubb Ras Al Khaimah Ras,Al,Khaimah
n/a Ghubbat Khawrah Ras Al Khaimah Ras,Al,Khaimah
n/a Ghurah Ras Al Khaimah Ras,Al,Khaimah
n/a Gragrah Ras Al Khaimah Ras,Al,Khaimah
n/a Habhab Ras Al Khaimah Ras,Al,Khaimah
n/a Ham Ham Ras Al Khaimah Ras,Al,Khaimah
n/a Hamra' Al Jazirah al Ras Al Khaimah Ras,Al,Khaimah
n/a Harat `Awali Ras Al Khaimah Ras,Al,Khaimah
n/a Hayl Ras Al Khaimah Ras,Al,Khaimah
n/a Homraniya Ras Al Khaimah Ras,Al,Khaimah
n/a Hudaybah Ras Al Khaimah Ras,Al,Khaimah
n/a Huwaylat Ras Al Khaimah Ras,Al,Khaimah
n/a Industrial and Technology Park Ras Al Khaimah Ras,Al,Khaimah
n/a Jazirat al Hamra' Ras Al Khaimah Ras,Al,Khaimah
"n/a Jazirat al Hamra', Beach Centre Ras Al Khaimah Ras",Al,Khaimah
"n/a Jazirat al Hamra', Hatta Fort Golf Course Ras Al Khaimah Ras",Al,Khaimah
n/a Khabakhib Ras Al Khaimah Ras,Al,Khaimah
n/a Kharran Ras Al Khaimah Ras,Al,Khaimah
n/a Khatt Ras Al Khaimah Ras,Al,Khaimah
n/a Khawr Khuwayr Ras Al Khaimah Ras,Al,Khaimah
n/a Khazam Ras Al Khaimah Ras,Al,Khaimah
n/a Kub Ras Al Khaimah Ras,Al,Khaimah
n/a Ma`ali Ras Al Khaimah Ras,Al,Khaimah
n/a Maghribiyah Ras Al Khaimah Ras,Al,Khaimah
n/a Manqashah Ras Al Khaimah Ras,Al,Khaimah
n/a Marhamid Ras Al Khaimah Ras,Al,Khaimah
n/a Masafi Ras Al Khaimah Ras,Al,Khaimah
"n/a Masafi, Ras Al Khaimah Ras",Al,Khaimah
n/a Masah Ras Al Khaimah Ras,Al,Khaimah
n/a Mina Al Arab Ras Al Khaimah Ras,Al,Khaimah
n/a Minha Ras Al Khaimah Ras,Al,Khaimah
n/a Mu`ayrid Ras Al Khaimah Ras,Al,Khaimah
n/a Munay`i Ras Al Khaimah Ras,Al,Khaimah
n/a Muraytah Ras Al Khaimah Ras,Al,Khaimah
n/a New Hangar Zebra VON Ras Al Khaimah Ras,Al,Khaimah
n/a Qabas Ras Al Khaimah Ras,Al,Khaimah
n/a Qaf'ah Ras Al Khaimah Ras,Al,Khaimah
n/a Qarat ad Dum Ras Al Khaimah Ras,Al,Khaimah
n/a Quar Ah Qahlish Ras Al Khaimah Ras,Al,Khaimah
n/a Qur Ras Al Khaimah Ras,Al,Khaimah
n/a Qurm Ras Al Khaimah Ras,Al,Khaimah
n/a Qusaydat Ras Al Khaimah Ras,Al,Khaimah
n/a Rafaq Ras Al Khaimah Ras,Al,Khaimah
n/a RAK airport Ras Al Khaimah Ras,Al,Khaimah
n/a Ramlah Ras Al Khaimah Ras,Al,Khaimah
n/a Rams Ras Al Khaimah Ras,Al,Khaimah
n/a Ras Al Khaimah Ras Al Khaimah Ras,Al,Khaimah
n/a Ras al Khaimah Ras Al Khaimah Ras,Al,Khaimah
"n/a Ras al Khaimah, Al Dour Archaeological Site Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Al Safeer Shopping Center Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Emirates Cultural Sport Club Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Emirates Pearls Markets Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Fish Market Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Madinet Zayed Camel Race Track Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Mdinet Zayed Market Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Rak Trading Mall Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Safeer Mall Ras Al Khaimah Ras",Al,Khaimah
"n/a Ras al Khaimah, Saif Al Shawi Ras Al Khaimah Ras",Al,Khaimah
n/a Rima Ras Al Khaimah Ras,Al,Khaimah
n/a Sal Dora Ras Al Khaimah Ras,Al,Khaimah
n/a Salihiyah Ras Al Khaimah Ras,Al,Khaimah
n/a Samarat Ras Al Khaimah Ras,Al,Khaimah
n/a Saraya Islands Ras Al Khaimah Ras,Al,Khaimah
n/a Sayh Ras Al Khaimah Ras,Al,Khaimah
n/a Sayh as Saqlah Ras Al Khaimah Ras,Al,Khaimah
n/a Sha`biyat Naslah Ras Al Khaimah Ras,Al,Khaimah
n/a Shabakah Ras Al Khaimah Ras,Al,Khaimah
n/a Shah Ras Al Khaimah Ras,Al,Khaimah
n/a Shahawat Ras Al Khaimah Ras,Al,Khaimah
n/a Shariyah Ras Al Khaimah Ras,Al,Khaimah
n/a Sharyat Ras Al Khaimah Ras,Al,Khaimah
n/a Shawkah Ras Al Khaimah Ras,Al,Khaimah
n/a Shimal Ras Al Khaimah Ras,Al,Khaimah
n/a Stan Ras Al Khaimah Ras,Al,Khaimah
n/a Suhaybah Ras Al Khaimah Ras,Al,Khaimah
n/a Wad Wid Ras Al Khaimah Ras,Al,Khaimah
n/a Waterfront Ras Al Khaimah Ras,Al,Khaimah
n/a Wayb Hawf Ras Al Khaimah Ras,Al,Khaimah
n/a Yasmin Village Ras Al Khaimah Ras,Al,Khaimah
n/a Yinas Ras Al Khaimah Ras,Al,Khaimah
n/a Abu Sangara,Sharjah,Sharjah
n/a Adh Dhayd,Sharjah,Sharjah
n/a Al Aber,Sharjah,Sharjah
n/a Al Ardiyah,Sharjah,Sharjah
n/a Al Azrra,Sharjah,Sharjah
n/a Al Brashi,Sharjah,Sharjah
n/a Al Butina,Sharjah,Sharjah
n/a Al Darrare,Sharjah,Sharjah
n/a Al Dhaid,Sharjah,Sharjah
n/a Al Fallaj,Sharjah,Sharjah
n/a Al Fayha,Sharjah,Sharjah
n/a AL Ghafiya,Sharjah,Sharjah
n/a Al Ghuhaiba,Sharjah,Sharjah
n/a Al Ghuwair,Sharjah,Sharjah
n/a Al Goaz,Sharjah,Sharjah
n/a Al Hamriyah,Sharjah,Sharjah
n/a Al Hawayah,Sharjah,Sharjah
n/a Al Hayrah,Sharjah,Sharjah
n/a Al Hazana,Sharjah,Sharjah
n/a Al Heera Suburb,Sharjah,Sharjah
n/a Al Hutain,Sharjah,Sharjah
n/a Al Jazzat,Sharjah,Sharjah
n/a Al Khabba,Sharjah,Sharjah
n/a Al Khaildia Suburb,Sharjah,Sharjah
n/a Al Khaldeia,Sharjah,Sharjah
n/a Al Khan,Sharjah,Sharjah
n/a Al Khouzamiya,Sharjah,Sharjah
n/a Al Madam,Sharjah,Sharjah
n/a Al Mahatah,Sharjah,Sharjah
n/a Al Majaz,Sharjah,Sharjah
n/a Al Malaiha,Sharjah,Sharjah
n/a Al Mamzar,Sharjah,Sharjah
n/a Al Mamzer,Sharjah,Sharjah
n/a Al Manakh,Sharjah,Sharjah
n/a Al Marijah,Sharjah,Sharjah
n/a Al Mirgab,Sharjah,Sharjah
n/a Al Mudaifi,Sharjah,Sharjah
n/a Al Mussalla,Sharjah,Sharjah
n/a Al Nabba,Sharjah,Sharjah
n/a Al Nahda 1,Sharjah,Sharjah
n/a Al Nahda 2,Sharjah,Sharjah
n/a Al Naimiya,Sharjah,Sharjah
n/a Al Nasserya,Sharjah,Sharjah
n/a Al nekhailat,Sharjah,Sharjah
n/a Al Nud,Sharjah,Sharjah
n/a Al Nujoom Islands,Sharjah,Sharjah
n/a Al Qadsia,Sharjah,Sharjah
n/a Al Qasba,Sharjah,Sharjah
n/a Al Qasemiya,Sharjah,Sharjah
n/a Al Qusais Industrial Area 1,Sharjah,Sharjah
n/a Al Qusais Industrial Area 3,Sharjah,Sharjah
n/a Al Rafee'a 1,Sharjah,Sharjah
n/a Al Ramaqia,Sharjah,Sharjah
n/a Al Ramla,Sharjah,Sharjah
n/a Al Ramla East,Sharjah,Sharjah
n/a AL Ramla West,Sharjah,Sharjah
n/a Al Ramtha,Sharjah,Sharjah
n/a Al Rifa,Sharjah,Sharjah
n/a Al Rifah,Sharjah,Sharjah
n/a Al Riqa Suburb,Sharjah,Sharjah
n/a Al Sajaa,Sharjah,Sharjah
n/a Al Shahab,Sharjah,Sharjah
n/a Al Sharq,Sharjah,Sharjah
n/a Al Shuwaiheen,Sharjah,Sharjah
n/a Al Subaikhi,Sharjah,Sharjah
n/a Al Swehat,Sharjah,Sharjah
n/a Al Talae,Sharjah,Sharjah
n/a Al Wahda,Sharjah,Sharjah
n/a Al Yarmook,Sharjah,Sharjah
n/a an-Nahwa,Sharjah,Sharjah
n/a Ar Rufaysah,Sharjah,Sharjah
n/a Ash Shu`ayb,Sharjah,Sharjah
n/a Atain,Sharjah,Sharjah
n/a Bu Danig,Sharjah,Sharjah
n/a Bu Tina,Sharjah,Sharjah
n/a Corniche Al Buhaira,Sharjah,Sharjah
n/a Eliash,Sharjah,Sharjah
n/a Etisalat,Sharjah,Sharjah
n/a Ghunah,Sharjah,Sharjah
n/a Hajar,Sharjah,Sharjah
n/a Hamriya,Sharjah,Sharjah
n/a Hamriyah Free Zone,Sharjah,Sharjah
n/a HANGAR AEROPRAKT A22 No220,Sharjah,Sharjah
n/a Hiyawah,Sharjah,Sharjah
n/a Hizayib az Zanah,Sharjah,Sharjah
n/a Huwayyah,Sharjah,Sharjah
n/a Industrial Area 13,Sharjah,Sharjah
n/a Industrial Area 18,Sharjah,Sharjah
n/a Khor Fakkan,Sharjah,Sharjah
n/a Layyah,Sharjah,Sharjah
n/a Lulayyah,Sharjah,Sharjah
n/a Madha,Sharjah,Sharjah
n/a Maysaloon,Sharjah,Sharjah
n/a Muelih,Sharjah,Sharjah
n/a Muwafjah,Sharjah,Sharjah
n/a Nahwa,Sharjah,Sharjah
n/a Nazwa,Sharjah,Sharjah
n/a Nedaifi,Sharjah,Sharjah
n/a New Shwaib,Sharjah,Sharjah
n/a Private airfield,Sharjah,Sharjah
n/a Rafa`,Sharjah,Sharjah
n/a Rolla Area,Sharjah,Sharjah
n/a Rollah Square,Sharjah,Sharjah
n/a Sa`d,Sharjah,Sharjah
n/a Sahanah,Sharjah,Sharjah
n/a Sajaa Industrial Area,Sharjah,Sharjah
n/a Samnan,Sharjah,Sharjah
n/a Saruj,Sharjah,Sharjah
n/a Shargan,Sharjah,Sharjah
n/a Sharjah,Sharjah,Sharjah
n/a Sharjah Airport Free Zone (SAIF),Sharjah,Sharjah
n/a Sharjah Industrial Area 1,Sharjah,Sharjah
n/a Sharjah Industrial Area 10,Sharjah,Sharjah
n/a Sharjah Industrial Area 12,Sharjah,Sharjah
n/a Sharjah Industrial Area 2,Sharjah,Sharjah
n/a Sharjah Industrial Area 3,Sharjah,Sharjah
n/a Sharjah Industrial Area 4,Sharjah,Sharjah
n/a Sharjah Industrial Area 5,Sharjah,Sharjah
n/a Sharjah Industrial Area 6,Sharjah,Sharjah
n/a Sharjah Industrial Area 7,Sharjah,Sharjah
n/a Sharjah Industrial Area 8,Sharjah,Sharjah
n/a Sharjah Industrial Area 9,Sharjah,Sharjah
n/a Shis,Sharjah,Sharjah
n/a Shwaib,Sharjah,Sharjah
n/a Tawi Bil Khabis,Sharjah,Sharjah
n/a Tawi Rashidia,Sharjah,Sharjah
n/a Tawi Zubair Hamriyah,Sharjah,Sharjah
n/a Turrfana,Sharjah,Sharjah
n/a Um Tarrafa,Sharjah,Sharjah
n/a Umm Khanoor,Sharjah,Sharjah
n/a Wadi Shi,Sharjah,Sharjah
n/a Wasit Suburb,Sharjah,Sharjah
n/a `Uwaynat Umm Al Quwain Umm,Al,Quwain
n/a Al `Adhib Umm Al Quwain Umm,Al,Quwain
n/a Al Abraq Umm Al Quwain Umm,Al,Quwain
n/a Al Azeeb Umm Al Quwain Umm,Al,Quwain
"n/a Al Azeeb, Al Khaleej Markets Umm Al Quwain Umm",Al,Quwain
n/a Al Biyatha Umm Al Quwain Umm,Al,Quwain
n/a Al Dar Al Baida - A Umm Al Quwain Umm,Al,Quwain
n/a Al Dar Al Baida - B Umm Al Quwain Umm,Al,Quwain
n/a Al Haditha Umm Al Quwain Umm,Al,Quwain
n/a Al Hamrah - B Umm Al Quwain Umm,Al,Quwain
n/a Al Hamrah - D Umm Al Quwain Umm,Al,Quwain
n/a Al Hawiyah Umm Al Quwain Umm,Al,Quwain
n/a Al Hazaywah Umm Al Quwain Umm,Al,Quwain
n/a Al Humrah - A Umm Al Quwain Umm,Al,Quwain
n/a Al Khor Umm Al Quwain Umm,Al,Quwain
n/a Al Labsah Umm Al Quwain Umm,Al,Quwain
n/a Al Limghadar Umm Al Quwain Umm,Al,Quwain
n/a Al Madar Umm Al Quwain Umm,Al,Quwain
n/a Al Maidan Umm Al Quwain Umm,Al,Quwain
n/a Al Quram Umm Al Quwain Umm,Al,Quwain
n/a Al Raafa Umm Al Quwain Umm,Al,Quwain
n/a Al Ra'as - A Umm Al Quwain Umm,Al,Quwain
n/a Al Ra'as - B Umm Al Quwain Umm,Al,Quwain
n/a Al Ra'as - C Umm Al Quwain Umm,Al,Quwain
n/a Al Ra'as - D Umm Al Quwain Umm,Al,Quwain
n/a Al Rashidiya Umm Al Quwain Umm,Al,Quwain
"n/a Al Rashidiya, Hamra Golf Club Umm Al Quwain Umm",Al,Quwain
"n/a Al Rashidiya, Sharjah Co-Operative Society Umm Al Quwain Umm",Al,Quwain
n/a Al Raudah Umm Al Quwain Umm,Al,Quwain
n/a Al Riqqah Umm Al Quwain Umm,Al,Quwain
n/a Al Salam City Umm Al Quwain Umm,Al,Quwain
n/a Al Surrah Umm Al Quwain Umm,Al,Quwain
n/a Ar Ra`fah Umm Al Quwain Umm,Al,Quwain
n/a Ar Ramlah Umm Al Quwain Umm,Al,Quwain
n/a Ar Rashidiyah Umm Al Quwain Umm,Al,Quwain
n/a As Salamah Umm Al Quwain Umm,Al,Quwain
n/a As Surrah Umm Al Quwain Umm,Al,Quwain
n/a Barracuda Umm Al Quwain Umm,Al,Quwain
n/a Barracuda Beach Resort Umm Al Quwain Umm,Al,Quwain
n/a Biyatah Umm Al Quwain Umm,Al,Quwain
n/a Defence Camp Umm Al Quwain Umm,Al,Quwain
n/a Diwwan Al Amiri Umm Al Quwain Umm,Al,Quwain
n/a Emirates Modern Industrial Umm Al Quwain Umm,Al,Quwain
n/a Emirates Motorplex - UAQ/RAK road Umm Al Quwain Umm,Al,Quwain
n/a Environmental Marine Research Center Umm Al Quwain Umm,Al,Quwain
n/a Falaj al Moalla Umm Al Quwain Umm,Al,Quwain
n/a Green Belt Umm Al Quwain Umm,Al,Quwain
n/a Hazaiwa Umm Al Quwain Umm,Al,Quwain
n/a Industrial Area A Umm Al Quwain Umm,Al,Quwain
n/a Industrial Area B Umm Al Quwain Umm,Al,Quwain
n/a Industrial Area C Umm Al Quwain Umm,Al,Quwain
n/a Kaber Umm Al Quwain Umm,Al,Quwain
n/a Kabir Umm Al Quwain Umm,Al,Quwain
n/a Khor Al Beidah Umm Al Quwain Umm,Al,Quwain
n/a Lazimah Umm Al Quwain Umm,Al,Quwain
n/a Lubsah Umm Al Quwain Umm,Al,Quwain
"n/a Lubsah, Lulu Centre Umm Al Quwain Umm",Al,Quwain
n/a Mintaqah al Hadithah Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ad Dar al Bayda' A Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ad Dar al Bayda' B Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al `Ahd Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Hawiyah Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Humrah A Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Humrah B Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Humrah D Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Humrah J Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Khawr Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Madinah al Qadimah Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat al Maydan Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Ra's A Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Ra's B Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Ra's D Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Ra's J Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Rawdah Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat ar Riqqah Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat Limghadar Umm Al Quwain Umm,Al,Quwain
n/a Mintaqat Umm al Qaywayn at Tibbiyah Umm Al Quwain Umm,Al,Quwain
n/a Mohadhub Umm Al Quwain Umm,Al,Quwain
n/a Muhadhdhib Umm Al Quwain Umm,Al,Quwain
n/a Old Town Umm Al Quwain Umm,Al,Quwain
n/a The settlement of fishermen Umm Al Quwain Umm,Al,Quwain
n/a Umm Al Quwain Umm Al Quwain Umm,Al,Quwain
n/a Umm Al Quwain Aviation & Parachute Club Umm Al Quwain Umm,Al,Quwain
n/a Umm Al Quwain Hunting & Shooting Club Umm Al Quwain Umm,Al,Quwain
n/a Umm Al Quwain Marina Umm Al Quwain Umm,Al,Quwain
n/a Umm Al Thaoub Industrial Area Umm Al Quwain Umm,Al,Quwain
n/a White Bay Umm Al Quwain Umm,Al,Quwain
